E00308	R00014	E00139
E00521	R00019	E01460
E01889	R00018	E01833
E00650	R00008	E00076
E00909	R00008	E01581
E02186	R00012	E01750
E00271	R00017	E00502
E02297	R00003	E00343
E01099	R00003	E01237
E00770	R00013	E00166
E00169	R00018	E02256
E01091	R00003	E01138
E00326	R00009	E00410
E01532	R00000	E00421
E01471	R00003	E00852
E01805	R00017	E00112
E01373	R00017	E00135
E00136	R00012	E02038
E01301	R00018	E00357
E02186	R00012	E02046
E01514	R00000	E00372
E01764	R00007	E02296
E01401	R00017	E01771
E00665	R00017	E02219
E01514	R00000	E00819
E01019	R00017	E00216
E01900	R00004	E01759
E00134	R00012	E01038
E00764	R00015	E01045
E01305	R00020	E00970
E00469	R00017	E00966
E01003	R00001	E02073
E02235	R00017	E02219
E00521	R00017	E00245
E01608	R00003	E00130
E00669	R00002	E01085
E00739	R00003	E01261
E02124	R00018	E01157
E01305	R00020	E01227
E00479	R00017	E00007
E00044	R00018	E01280
E00630	R00000	E00541
E01132	R00018	E00491
E00315	R00020	E01072
E00999	R00011	E01548
E01404	R00002	E01912
E00082	R00018	E00601
E00441	R00018	E00310
E00650	R00008	E01812
E00804	R00015	E01320
E00253	R00019	E01255
E00274	R00018	E00357
E01585	R00009	E01817
E02208	R00006	E01961
E00076	R00017	E01724
E00053	R00018	E01258
E00747	R00018	E01320
E01764	R00017	E00170
E00431	R00017	E02202
E00169	R00018	E01613
E01470	R00003	E01664
E01339	R00008	E01446
E01268	R00018	E00913
E02124	R00018	E01594
E00904	R00020	E00305
E00713	R00008	E01015
E00417	R00002	E00130
E01847	R00008	E02151
E02236	R00014	E01717
E00180	R00002	E01901
E01436	R00015	E01320
E01301	R00018	E01157
E00852	R00009	E01650
E01371	R00017	E01176
E01957	R00017	E00189
E01189	R00014	E00831
E01581	R00004	E02256
E01512	R00018	E00108
E00768	R00002	E01731
E00334	R00017	E01724
E01858	R00003	E00479
E01273	R00001	E00545
E01824	R00006	E01272
E01552	R00017	E01076
E01880	R00018	E02196
E01733	R00000	E01234
E00271	R00017	E01266
E00754	R00008	E01520
E01853	R00008	E01685
E01958	R00016	E01312
E00253	R00018	E01364
E00763	R00017	E00730
E01497	R00005	E00256
E01957	R00017	E00502
E01730	R00007	E00606
E01769	R00019	E02288
E02236	R00016	E01563
E00547	R00016	E00264
E01094	R00003	E00747
E01838	R00019	E00285
E01306	R00018	E00514
E02246	R00008	E00184
E00568	R00005	E01861
E01887	R00003	E01890
E00724	R00018	E02196
E00248	R00018	E00150
E00321	R00018	E01320
E01910	R00008	E01685
E01397	R00012	E02046
E00347	R00002	E01264
E00734	R00009	E00062
E00800	R00017	E01958
E01371	R00017	E00502
E00597	R00018	E02015
E01958	R00016	E02086
E01423	R00008	E01291
E00512	R00017	E00135
E01327	R00007	E00124
E00110	R00017	E00007
E01926	R00014	E02293
E01880	R00018	E00286
E00685	R00017	E00209
E00672	R00014	E00094
E00649	R00003	E00762
E01337	R00006	E00217
E00939	R00002	E01640
E00640	R00003	E01366
E01218	R00017	E00966
E02235	R00017	E00844
E01885	R00006	E00706
E00944	R00007	E01207
